,DrugID,DiseaseID
0,DB00657,D103780
1,DB00284,D125853
2,DB00284,D125850
3,DB00284,D125851
4,DB00284,D600496
5,DB01192,D608622
6,DB01192,D161900
7,DB00315,D145590
8,DB00315,D147530
9,DB00315,D157300
10,DB00315,D608088
11,DB00315,D140600
12,DB00816,D147480
13,DB00816,D217200
14,DB00816,D600351
15,DB00816,D215140
16,DB00816,D239350
17,DB00816,D243200
18,DB00413,D125853
19,DB00413,D125850
20,DB00413,D125851
21,DB00413,D600496
22,DB01062,D181500
23,DB00783,D268320
24,DB00210,D604416
25,DB00637,D194200
26,DB00131,D194200
27,DB00240,D233810
28,DB00627,D102500
29,DB00627,D167320
30,DB00627,D150600
31,DB00627,D166710
32,DB00627,D602080
33,DB00343,D200170
34,DB00343,D147530
35,DB00343,D600082
36,DB06287,D608622
37,DB06287,D145500
38,DB06287,D161900
39,DB00521,D148000
40,DB00436,D602068
41,DB00436,D310468
42,DB00917,D157300
43,DB00968,D260570
44,DB00401,D252320
45,DB00401,D167870
46,DB00912,D126200
47,DB00912,D168100
48,DB00912,D119500
49,DB01120,D254200
50,DB01142,D276300
51,DB00593,D208300
52,DB00593,D215140
53,DB00593,D608622
54,DB00593,D161900
55,DB00356,D268320
56,DB01222,D208550
57,DB01222,D600807
58,DB01222,D210050
59,DB01115,D115000
60,DB00320,D144110
61,DB00320,D147530
62,DB00320,D252320
63,DB00380,D125310
64,DB00380,D608320
65,DB00380,D608622
66,DB00380,D145500
67,DB00380,D179600
68,DB00380,D161900
69,DB01327,D217200
70,DB01327,D239350
71,DB00182,D143465
72,DB01410,D212110
73,DB01216,D114480
74,DB01216,D174800
75,DB01124,D607554
76,DB00712,D168100
77,DB00712,D168600
78,DB00404,D188050
79,DB00278,D188050
80,DB01235,D164230
81,DB01235,D181500
82,DB01167,D276300
83,DB00939,D107320
84,DB00939,D208230
85,DB00939,D125310
86,DB00939,D145590
87,DB00939,D147530
88,DB00939,D150600
89,DB00939,D157300
90,DB00939,D165720
91,DB00939,D140600
92,DB00939,D607850
93,DB00939,D607459
94,DB00939,D601367
95,DB00939,D152700
96,DB00636,D147540
97,DB01070,D109100
98,DB00334,D110100
99,DB00334,D157700
100,DB00289,D143465
101,DB01075,D144010
102,DB00571,D226150
103,DB00571,D190310
104,DB00993,D134750
105,DB00927,D247200
106,DB00927,D258360
107,DB00927,D601004
108,DB00992,D208920
109,DB00992,D233810
110,DB00992,D266600
111,DB00992,D126200
112,DB00992,D254200
113,DB00992,D160300
114,DB00992,D181000
115,DB00992,D152700
116,DB00992,D188030
117,DB00547,D604416
118,DB00181,D601042
119,DB00181,D128101
120,DB00181,D143100
121,DB00181,D147530
122,DB00181,D126200
123,DB00181,D607225
124,DB00181,D189600
125,DB00181,D190400
126,DB01009,D266600
127,DB00393,D208550
128,DB00393,D600807
129,DB00541,D608622
130,DB00541,D146255
131,DB00541,D161900
132,DB00434,D600351
133,DB00434,D215140
134,DB00434,D608622
135,DB00434,D256370
136,DB00434,D161900
137,DB01085,D147530
138,DB01085,D166760
139,DB00865,D608088
140,DB00864,D303110
141,DB00864,D601665
142,DB00864,D264120
143,DB00765,D145590
144,DB00245,D125320
145,DB00245,D168100
146,DB00245,D168600
147,DB01242,D608622
148,DB01242,D161900
149,DB00441,D603165
150,DB00441,D125600
151,DB00441,D133600
152,DB00441,D151590
153,DB00195,D137750
154,DB00195,D608622
155,DB00195,D161900
156,DB01018,D109350
157,DB01018,D157950
158,DB01018,D191800
159,DB00307,D276300
160,DB00307,D254400
161,DB01125,D176807
162,DB00904,D137750
163,DB00904,D601682
164,DB00904,D137760
165,DB00904,D161900
166,DB00808,D125320
167,DB00808,D168100
168,DB01291,D600263
169,DB00611,D110100
170,DB00611,D157700
171,DB00899,D208550
172,DB00899,D600807
173,DB00290,D236000
174,DB00290,D109543
175,DB00290,D247640
176,DB00290,D155601
177,DB00290,D155600
178,DB00290,D267730
179,DB00290,D273300
180,DB00188,D254500
181,DB00557,D178600
182,DB00557,D161900
183,DB00482,D137750
184,DB00482,D601682
185,DB00482,D137760
186,DB00482,D161900
187,DB01193,D137750
188,DB01193,D601682
189,DB01193,D137760
190,DB01193,D161900
191,DB00960,D212350
192,DB00960,D115645
193,DB01197,D168100
194,DB00353,D145590
195,DB01221,D208550
196,DB01221,D600807
197,DB01221,D210050
198,DB01221,D266600
199,DB01221,D191390
200,DB00884,D203700
201,DB00884,D208300
202,DB00884,D210050
203,DB00884,D600351
204,DB00884,D215140
205,DB00884,D608622
206,DB00884,D146255
207,DB00884,D256370
208,DB00884,D166300
209,DB00884,D161900
210,DB00297,D147530
211,DB00918,D147530
212,DB01151,D143465
213,DB01151,D167870
214,DB01151,D264120
215,DB00489,D104130
216,DB00489,D156190
217,DB00489,D165150
218,DB00489,D259050
219,DB00489,D167870
220,DB00489,D300232
221,DB01006,D223350
222,DB01006,D246470
223,DB01006,D276300
224,DB01006,D254450
225,DB01006,D263300
226,DB00241,D145590
227,DB00241,D157300
228,DB00608,D147530
229,DB00248,D600634
230,DB00201,D136200
231,DB00201,D145590
232,DB00201,D147530
233,DB00201,D157300
234,DB00201,D140600
235,DB00136,D146255
236,DB00136,D277440
237,DB00136,D277460
238,DB11750,D608622
239,DB11750,D161900
240,DB01099,D114480
241,DB01099,D114500
242,DB01099,D137215
243,DB01099,D276300
244,DB01099,D176807
245,DB01099,D144700
246,DB01196,D602522
247,DB01196,D600351
248,DB01196,D215140
249,DB01196,D608622
250,DB01196,D146255
251,DB01196,D179600
252,DB01196,D161900
253,DB00563,D104130
254,DB00563,D128101
255,DB00563,D165199
256,DB00563,D102300
257,DB00563,D181500
258,DB00563,D190400
259,DB00190,D125320
260,DB00190,D168100
261,DB00190,D168600
262,DB00190,D102300
263,DB00957,D109800
264,DB00957,D133239
265,DB00957,D276300
266,DB00957,D259500
267,DB00262,D137800
268,DB00262,D236000
269,DB00262,D109543
270,DB00262,D247640
271,DB00262,D276300
272,DB00262,D254500
273,DB00262,D267730
274,DB00519,D137750
275,DB00519,D608622
276,DB00519,D161900
277,DB01133,D607554
278,DB01133,D608622
279,DB01133,D161900
280,DB01320,D600803
281,DB00533,D208550
282,DB00533,D166760
283,DB00481,D175100
284,DB00481,D208230
285,DB00481,D135550
286,DB00481,D147530
287,DB00481,D246470
288,DB00481,D165720
289,DB00481,D140600
290,DB00481,D607850
291,DB00481,D175505
292,DB00481,D607459
293,DB00472,D103780
294,DB00472,D226150
295,DB01157,D147530
296,DB00605,D181000
297,DB00876,D203700
298,DB00876,D210050
299,DB00876,D600351
300,DB00876,D215140
301,DB00876,D608622
302,DB00876,D256370
303,DB00876,D161900
304,DB00476,D145590
305,DB00476,D181500
306,DB00669,D125853
307,DB00669,D125850
308,DB00669,D125851
309,DB00669,D600496
310,DB00310,D608622
311,DB00310,D161900
312,DB00354,D147530
313,DB00169,D102500
314,DB00169,D266600
315,DB00169,D166710
316,DB00122,D208230
317,DB00122,D147530
318,DB00122,D165720
319,DB00122,D140600
320,DB00122,D607850
321,DB00122,D607459
322,DB01406,D208550
323,DB01186,D114580
324,DB01186,D125600
325,DB00500,D109350
326,DB00500,D304790
327,DB00500,D264120
328,DB00500,D190310
329,DB00536,D208550
330,DB00536,D145590
331,DB00536,D266600
332,DB00536,D258360
333,DB00536,D166760
334,DB00603,D304790
335,DB00514,D109800
336,DB00514,D133239
337,DB00514,D236000
338,DB00514,D276300
339,DB00514,D254500
340,DB00514,D256700
341,DB00514,D259500
342,DB00514,D182280
343,DB00514,D273300
344,DB00215,D103780
345,DB00215,D131300
346,DB00215,D225755
347,DB00215,D608033
348,DB00215,D225740
349,DB00215,D164230
350,DB00215,D167870
351,DB00215,D260970
352,DB00215,D182830
353,DB03904,D310468
354,DB03904,D179800
355,DB03904,D179830
356,DB03904,D604278
