drug_ID,disease_ID
DB00659,D103780
DB00284,D125853
DB01193,D608622
DB01193,D161900
DB00316,D145590
DB00316,D147530
DB00316,D157300
DB00316,D608088
DB00316,D140600
DB00819,D147480
DB00819,D217200
DB00819,D600351
DB00819,D215140
DB00819,D239350
DB00819,D243200
DB00414,D125850
DB00414,D600496
DB01063,D181500
DB00787,D268320
DB00210,D604416
DB00640,D194200
DB00131,D194200
DB00240,D233810
DB00630,D167320
DB00630,D150600
DB00630,D166710
DB00346,D200170
DB00346,D600082
DB09026,D608622
DB09026,D161900
DB00523,D148000
DB00437,D310468
DB00918,D157300
DB00969,D260570
DB00404,D252320
DB00404,D167870
DB00915,D126200
DB00915,D168100
DB00915,D119500
DB01122,D254200
DB01143,D276300
DB00594,D208300
DB00594,D215140
DB00594,D161900
DB00357,D268320
DB01223,D208550
DB01223,D210050
DB01118,D115000
DB00321,D144110
DB00321,D147530
DB00321,D252320
DB00381,D125310
DB00381,D608320
DB00381,D608622
DB00381,D179600
DB00381,D161900
DB01351,D239350
DB00182,D143465
DB01427,D212110
DB01217,D114480
DB01217,D174800
DB01125,D607554
DB00714,D168100
DB00714,D168600
DB00407,D188050
DB00278,D188050
DB01238,D164230
DB01238,D181500
DB01169,D276300
DB00945,D107320
DB00945,D208230
DB00945,D125310
DB00945,D145590
DB00945,D147530
DB00945,D150600
DB00945,D157300
DB00945,D140600
DB00945,D607850
DB00945,D607459
DB00945,D601367
DB00945,D152700
DB00637,D147540
DB01072,D109100
DB00335,D110100
DB00335,D157700
DB00289,D143465
DB01076,D144010
DB00572,D190310
DB00995,D134750
DB00928,D247200
DB00928,D258360
DB00928,D601004
DB00993,D208920
DB00993,D233810
DB00993,D126200
DB00993,D254200
DB00993,D160300
DB00993,D181000
DB00993,D152700
DB00993,D188030
DB00548,D604416
DB00181,D601042
DB00181,D128101
DB00181,D143100
DB00181,D147530
DB00181,D126200
DB00181,D607225
DB01014,D266600
DB00394,D208550
DB00542,D146255
DB00436,D600351
DB00436,D215140
DB00436,D608622
DB00436,D161900
DB01086,D147530
DB01086,D166760
DB00868,D608088
DB00865,D601665
DB00767,D145590
DB00245,D125320
DB00245,D168100
DB00245,D168600
